"neighborhood","num_sales","avg_sale_price","avg_price_per_sqft","price_rank"
"NoRidge","71","330319","132","1"
"StoneBr","51","324229","166","2"
"NridgHt","166","322018","165","3"
"GrnHill","2","280000","198","4"
"Veenker","24","248315","143","5"
"Timber","72","246600","144","6"
"Somerst","182","229707","143","7"
"ClearCr","44","208662","123","8"
"Crawfor","103","207551","121","9"
"CollgCr","267","201803","137","10"
"Blmngtn","28","196662","140","11"
"Greens","8","193531","168","12"
"Gilbert","165","190647","119","13"
"NWAmes","131","188407","114","14"
"SawyerW","125","184070","117","15"
"Mitchel","114","162227","127","16"
"NAmes","443","145097","116","17"
"Blueste","10","143590","126","18"
"NPkVill","23","140711","116","19"
"Landmrk","1","137000","103","20"
"Sawyer","151","136751","121","21"
"SWISU","48","135072","88","22"
"Edwards","194","130843","103","23"
"BrkSide","108","124756","103","24"
"OldTown","239","123992","91","25"
"BrDale","30","105608","95","26"
"IDOTRR","93","103753","88","27"
"MeadowV","37","95756","94","28"
